title,date,description,mp3_url,bytes,duration,source_page
"Wallace Bassett — Prayer For A Stricken World",1945-01-07,"The Baptist Hour weekly radio broadcast, aired January 7, 1945. Preacher: Wallace Bassett. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144605/BH_1945-01-07-Wallace_Bassett-Prayer_for_a_Stricken_World.mp3,28092061,29:16,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"M. E. Dodd — Hitherto, Hence Forth",1945-01-14,"The Baptist Hour weekly radio broadcast, aired January 14, 1945. Preacher: M. E. Dodd. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144626/BH_1945-01-14-M_E_Dodd-Hitherto_Hence_Forth.mp3,28809279,30:01,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"W. A. Criswell — Victorious Surrender",1945-01-21,"The Baptist Hour weekly radio broadcast, aired January 21, 1945. Preacher: W. A. Criswell. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144647/BH_1945-01-21-W_A_Criswell-Victorious_Surrender.mp3,29141138,30:21,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"Major W. C. Taggert — My Fighting Congregation (damaged)",1945-01-28,"The Baptist Hour weekly radio broadcast, aired January 28, 1945. Preacher: Major W. C. Taggert. Transferred by SBHLA from a 16-inch transcription disc. SBHLA notes this recording is damaged; audio quality may be poor in places.",https://cdn.sbhla.org/wp-content/uploads/20240409144705/BH_1945-01-28-Major_W_C_Taggert-My_Fighting_Congregation_damaged.mp3,25602695,26:40,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"Louie Newton — Baptist World Fellowship",1945-02-04,"The Baptist Hour weekly radio broadcast, aired February 4, 1945. Preacher: Louie Newton. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144724/BH_1945-02-04-Louie_Newton-Baptist_World_Fellowship.mp3,28758706,29:57,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"J. L. Kraft — In Business With God",1945-02-11,"The Baptist Hour weekly radio broadcast, aired February 11, 1945. Preacher: J. L. Kraft. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144745/BH_1945-02-11-J_L_Kraft-In_Business_With_God.mp3,29103940,30:19,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"C. Roy Angell — Is It Nothing To You",1945-02-18,"The Baptist Hour weekly radio broadcast, aired February 18, 1945. Preacher: C. Roy Angell. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144807/BH_1945-02-18-C_Roy_Angell-Is_It_Nothing_To_You.mp3,28792978,29:59,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"M. T. Rankin — Sharing Christ With The Nations",1945-02-25,"The Baptist Hour weekly radio broadcast, aired February 25, 1945. Preacher: M. T. Rankin. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144827/BH_1945-02-25-M_T_Rankin-Sharing_Christ_With_the_Nations.mp3,28925473,30:08,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"Walter F. George — The Foundations Of Freedom",1945-03-04,"The Baptist Hour weekly radio broadcast, aired March 4, 1945. Preacher: Walter F. George. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144847/BH_1945-03-04-Walter_F_George-The_Foundations_of_Freedom.mp3,28911260,30:07,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"K. Owen White — God's Word In A Bewildered World",1945-03-11,"The Baptist Hour weekly radio broadcast, aired March 11, 1945. Preacher: K. Owen White. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144907/BH_1945-03-11-K_Owen_White-Gods_Word_in_a_Bewildered_World.mp3,28655052,29:51,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"Duke McCall — Christ' Church Building A Better World",1945-03-18,"The Baptist Hour weekly radio broadcast, aired March 18, 1945. Preacher: Duke McCall. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144927/BH_1945-03-18-Duke_McCall-Christ_Church_Building_a_Better_World.mp3,29471745,30:42,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
"Pat Neff — Christian Patroits Facing The Future",1945-03-25,"The Baptist Hour weekly radio broadcast, aired March 25, 1945. Preacher: Pat Neff. Transferred by SBHLA from a 16-inch transcription disc.",https://cdn.sbhla.org/wp-content/uploads/20240409144948/BH_1945-03-25-Pat_Neff-Christian_Patroits_Facing_the_Future.mp3,29178754,30:24,https://sbhla.org/digital-resources/baptist-hour-audio-recordings/baptist-hour-audio-recordings-1945/
