title,date,description,mp3_url,bytes,duration,source_page
"Porter Routh Oral History — Session 01, May 28, 1986 (Tape 1)",1986-05-28 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114416/Porter_Routh-Oral_History-01-May_28_1986-Tape_1.mp3,133507582,1:32:42,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 02, May 28, 1986 (Tape 2)",1986-05-28 10:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114421/Porter_Routh-Oral_History-02-May_28_1986-Tape_2.mp3,5735806,3:58,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 03, July 23, 1986",1986-07-23 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114448/Porter_Routh-Oral_History-03-July_23_1986.mp3,123907966,1:26:02,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 04, July 25, 1986",1986-07-25 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114514/Porter_Routh-Oral_History-04-July_25_1986.mp3,111527998,1:17:26,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 05, July 28, 1986",1986-07-28 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114541/Porter_Routh-Oral_History-05-July_28_1986.mp3,112102846,1:17:50,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 06, July 31, 1986",1986-07-31 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114610/Porter_Routh-Oral_History-06-July_31_1986.mp3,130984702,1:30:57,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 07, August 14, 1986 (Tape 1)",1986-08-14 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114647/Porter_Routh-Oral_History-07-August_14_1986-Tape_1.mp3,141448894,1:38:13,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 08, August 14, 1986 (Tape 2)",1986-08-14 10:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114657/Porter_Routh-Oral_History-08-August_14_1986-Tape_2.mp3,30688126,21:18,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 09, August 14, 1986 (Tape 3)",1986-08-14 11:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114727/Porter_Routh-Oral_History-09-August_14_1986-Tape_3.mp3,132910270,1:32:17,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
"Porter Routh Oral History — Session 10, August 18, 1986 (Tape 1)",1986-08-18 09:00,"Oral history interview with Porter Routh (1911-1987), who served as Executive Secretary-Treasurer of the Executive Committee of the Southern Baptist Convention from 1951 until his retirement in 1979, and earlier as Secretary of the Department of Survey, Statistics, and Information at the SBC Sunday School Board (1945-1951) and editor of the Oklahoma Baptist Messenger (1944-1945). Interviewed by A. Ronald Tonks at the SBC Building, Nashville, TN.",https://cdn.sbhla.org/wp-content/uploads/20250829114757/Porter_Routh-Oral_History-10-August_18_1986-Tape_1.mp3,83713534,58:07,https://sbhla.org/digital-resources/sbc-leaders-oral-history/routh-porter-wroe-oral-history/
