title,date,description,mp3_url,bytes,duration,source_page,program_pdf
"Vance Havner (Devotional) & E. S. James, ""The Promised Messiah"" (pt. 1 of 2) — 1963 Pastor's Conference, Mon AM Pt. 1",1963-05-06,"Monday morning session, May 6, 1963, Kansas City, MO. Per the printed program: 9:00 Music; 9:05 Scripture & Prayer, W. Ross Edwards (MO); 9:10 Welcome Address, Thomas S. Field (MO); 9:15 Response, T. L. McSwain (KY); 9:20 Devotional, Vance Havner (NC); 9:50 Music; 9:55 ""The Promised Messiah,"" E. S. James (TX) — continues into Part 2. Segment boundaries are estimated from the printed program's schedule (assuming a 9:00 start) and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162334/sbc_pc_1963-01-Monday_Morning-Part_1.MP3,60416188,1:02:56,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"E. S. James, ""The Promised Messiah"" (pt. 2, concl.) & John W. Salzman, ""Salvation by Grace"" — 1963 Pastor's Conference, Mon AM Pt. 2",1963-05-06,"Monday morning session, May 6, 1963, continued. Per the printed program: conclusion of ""The Promised Messiah,"" E. S. James (TX); 10:25 Music; 10:30 ""Salvation by Grace,"" John W. Salzman (AZ); 11:00 Special Music, Mrs. Martha Branham (TX). Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162342/sbc_pc_1963-02-Monday_Morning-Part_2.MP3,56516628,58:52,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"T. Earl Ogg, ""The Precious Blood of Christ"" & Warren Hultgren, ""The Love of God"" (pt. 1 of 2) — 1963 Pastor's Conference, Mon AM Pt. 3",1963-05-06,"Monday morning session, May 6, 1963, continued. Per the printed program: 11:05 ""The Precious Blood of Christ,"" T. Earl Ogg (LA); 11:35 Special Music, Sam Allen (OK); 11:40 ""The Love of God,"" Warren Hultgren (OK) — continues into Part 4. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162350/sbc_pc_1963-03-Monday_Morning-Part_3.MP3,58849259,1:01:18,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Warren Hultgren, ""The Love of God"" (pt. 2, concl.) / Afternoon Concert & Vance Havner (Devotional) — 1963 Pastor's Conference, Mon AM Pt. 4 – PM Pt. 1",1963-05-06,"This file bridges the end of Monday morning and the start of Monday afternoon (a lunch break between 12:10 and 1:45 is not captured in the recording). Per the printed program: conclusion of ""The Love of God,"" Warren Hultgren (OK); 12:10 Closing Prayer, Arthur H. Stainback (MO); [lunch break]; 1:45 Concert, West End Baptist Chancel Choir (Birmingham, AL, Larry Andrews directing); 2:05 Scripture & Prayer, Tilford L. Junkins (AL); 2:10 Devotional, Vance Havner (NC) — likely continues into Part 5. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162359/sbc_pc_1963-04-Monday_Morning-Part_4-Monday_Afternoon-Part_1.MP3,60491838,1:03:01,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Brooks Ramsey, ""The Holy Spirit"" & Kenneth Chafin, ""Sunday School Witnessing Program"" — 1963 Pastor's Conference, Mon PM Pt. 2",1963-05-06,"Monday afternoon session, May 6, 1963, continued. Per the printed program: 2:45 ""The Holy Spirit,"" Brooks Ramsey (GA); 3:15 Special Music, Mrs. Martha Branham (TX); 3:20 ""Sunday School Witnessing Program,"" Kenneth Chafin (TX) — may continue into Part 6. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162408/sbc_pc_1963-05-Monday_Afternoon-Part_2.MP3,59685177,1:02:10,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Ramsey Pollard, ""Hell"" — 1963 Pastor's Conference, Mon PM Pt. 3",1963-05-06,"Monday afternoon session, May 6, 1963, concluding. Per the printed program: ""Hell,"" Ramsey Pollard (TN); 4:10 Closing Prayer, Forrest C. Garrard, Jr. (GA). Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162416/sbc_pc_1963-06-Monday_Afternoon-Part_3.MP3,58228589,1:00:39,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Vance Havner (Devotional) & Philip Harris, ""Our New Orientation Program"" — 1963 Pastor's Conference, Mon EVE Pt. 1",1963-05-06,"Monday evening session, May 6, 1963. Per the printed program: 7:00 Music; 7:10 Scripture & Prayer, Jared I. Cartlidge (TX); 7:15 Devotional, Vance Havner (NC); 7:45 Music; 7:50 ""Our New Orientation Program,"" Philip Harris (TN); 8:10 Election of Officers begins near the end of this file. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162425/sbc_pc_1963-07-Monday_Evening-Part_1.MP3,61512495,1:04:04,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"William M. Jones, ""Bringing Men to Jesus"" & start of H. Leo Eddleman, ""The Preacher and His Message"" — 1963 Pastor's Conference, Mon EVE Pt. 2",1963-05-06,"Monday evening session, May 6, 1963, continued. Per the printed program: Election of Officers (continued from Part 1); 8:20 Offering; 8:30 ""Bringing Men to Jesus,"" William M. Jones (SC); 9:00 Special Music, Mrs. Martha Branham (TX); 9:05 ""The Preacher and His Message,"" H. Leo Eddleman (LA) begins near the end of this file and continues into Part 3. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162436/sbc_pc_1963-08-Monday_Evening-Part_2.MP3,59699388,1:02:11,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"H. Leo Eddleman, ""The Preacher and His Message"" (concl.) — 1963 Pastor's Conference, Mon EVE Pt. 3",1963-05-06,"Monday evening session, May 6, 1963, concluding. Per the printed program: conclusion of ""The Preacher and His Message,"" H. Leo Eddleman (LA); 9:35 Closing Prayer, Robert W. Clark (FL). This file runs about 35 minutes longer than the printed program accounts for; the remainder is not itemized in the schedule (likely additional unscheduled business/remarks). Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162448/sbc_pc_1963-09-Monday_Evening-Part_3.MP3,61882806,1:04:28,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Charles B. Howard (Devotional) & John E. Huss, ""The Church That Jesus Built"" (pt. 1) — 1963 Pastor's Conference, Tue AM Pt. 1",1963-05-07,"Tuesday morning session, May 7, 1963. Per the printed program: 9:00 Music; 9:10 Scripture & Prayer, Paul Denington (TN); 9:15 Devotional, Charles B. Howard (NC); 9:45 Music; 9:50 ""The Church That Jesus Built,"" John E. Huss (SC) — continues into Part 2. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162504/sbc_pc_1963-10-Tuesday_Morning-Part_1.MP3,59436909,1:01:55,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"John E. Huss, ""The Church That Jesus Built"" (concl.) & K. Owen White, ""The New Birth"" — 1963 Pastor's Conference, Tue AM Pt. 2",1963-05-07,"Tuesday morning session, May 7, 1963, continued. Per the printed program: conclusion of ""The Church That Jesus Built,"" John E. Huss (SC); 10:20 Special Music, James Carraway (LA); 10:25 ""The New Birth,"" K. Owen White (TX); 10:55 Offering; 11:00 Special Music, Jack Day (FL); start of ""The Christian Home,"" Jess C. Moody (FL) near the end of this file, continuing into Part 3. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162517/sbc_pc_1963-11-Tuesday_Morning-Part_2.MP3,60462163,1:02:59,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Jess C. Moody, ""The Christian Home"" & W. A. Criswell, ""The Cross of Christ"" (pt. 1 of 2) — 1963 Pastor's Conference, Tue AM Pt. 3",1963-05-07,"Tuesday morning session, May 7, 1963, continued. Per the printed program: ""The Christian Home,"" Jess C. Moody (FL); 11:35 Special Music, Mrs. Martha Branham (TX); 11:40 ""The Cross of Christ,"" W. A. Criswell (TX) — continues into Part 4. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162528/sbc_pc_1963-12-Tuesday_Morning-Part_3.MP3,59202016,1:01:40,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"W. A. Criswell, ""The Cross of Christ"" (concl.) & start of Tuesday Afternoon — 1963 Pastor's Conference, Tue AM Pt. 4",1963-05-07,"This file concludes the Tuesday morning session and may run into the start of Tuesday afternoon, though — unlike Monday's bridging file — it is not explicitly labeled as spanning both sessions, so treat that possibility with extra caution. Per the printed program: conclusion of ""The Cross of Christ,"" W. A. Criswell (TX); 12:15 Closing Prayer, Ralph McIntyre (TN); [lunch break, likely not captured]; possibly the very start of the 2:00 PM afternoon session (Music; 2:10 Scripture & Prayer, W.I. (Bill) Thomas, TX; 2:15 Devotional, Charles B. Howard, NC). Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162537/sbc_pc_1963-13-Tuesday_Morning-Part_4.MP3,56918287,59:17,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"Charles B. Howard (Devotional) & J. Conally Evans, ""The Land of No Tears"" (pt. 1 of 2) — 1963 Pastor's Conference, Tue PM Pt. 1",1963-05-07,"Tuesday afternoon session, May 7, 1963. Per the printed program: 2:00 Music; 2:10 Scripture & Prayer, W.I. (Bill) Thomas (TX); 2:15 Devotional, Charles B. Howard (NC); 2:45 Special Music, James Carraway (LA); 2:50 ""The Land of No Tears,"" J. Conally Evans (FL) — continues into Part 2. Note: this session ran noticeably longer than its printed schedule (as Monday evening also did), so later items in this session may land later than the schedule alone suggests. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162551/sbc_pc_1963-14-Tuesday_Afternoon-Part_1.MP3,60185474,1:02:42,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
"J. Conally Evans, ""The Land of No Tears"" (concl.) & Robert G. Lee, ""The Second Coming of Christ"" (pt. 1 of 2) — 1963 Pastor's Conference, Tue PM Pt. 2",1963-05-07,"Tuesday afternoon session, May 7, 1963, continued. Per the printed program: conclusion of ""The Land of No Tears,"" J. Conally Evans (FL); 3:20 Presentation of New Officers; 3:25 Offering; 3:30 Special Music, Mrs. Martha Branham (TX); 3:35 ""The Second Coming of Christ,"" Robert G. Lee (TN) — continues into Part 3. Segment boundaries are estimated from the printed program's schedule and are not verified by listening; the full program is linked below.",https://cdn.sbhla.org/wp-content/uploads/20220212162610/sbc_pc_1963-15-Tuesday_Afternoon-Part_2.MP3,57609592,1:00:01,https://sbhla.org/digital-resources/pastors-conference-audio-recordings/pc-audio-1963/,http://media2.sbhla.org.s3.amazonaws.com/collections/sbc_pastors_conf/sbc_pc_1963.pdf
